"id","action","entity_type","entity_id","path","method","status_code","ip_address","user_agent","metadata","created_date","user_id"
audit-8721b0fddb67,create,tasks,SP-099,/v1/api/tasks,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:29:08Z",25
audit-a6642a475094,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:29:30Z",25
audit-f8eff0dca764,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:29:54Z",25
audit-1323c70c86d3,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:30:22Z",25
audit-07483245ddcb,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:31:03Z",25
audit-e330f850d754,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:34:08Z",25
audit-55cc1f40559d,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:34:10Z",25
audit-8ac94479943d,update,tasks,SP-099,/v1/api/tasks/SP-099,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:34:10Z",25
audit-22677d70a6cd,create,tasks,BUG-026,/v1/api/tasks,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:36:16Z",25
audit-a2e9d34e3c69,create,tasks,BUG-026,/v1/api/tasks,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:40:56Z",25
audit-7520d700e284,delete,tasks,BUG-026,/v1/api/tasks/BUG-026,DELETE,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T09:41:35Z",25
audit-118791161d1c,create,sprints,sprint-1770717765370,/v1/api/sprints,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:02:45Z",38
audit-7abf28aeaeb4,create,sprints,sprint-1770717780672,/v1/api/sprints,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:00Z",38
audit-3cb9bab1cec0,create,tasks,SP-001,/v1/api/tasks,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:34Z",38
audit-9cac8acf9f52,update,tasks,SP-001,/v1/api/tasks/SP-001,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:39Z",38
audit-3fe2503260da,update,sprints,sprint-1770717780672,/v1/api/sprints/sprint-1770717780672,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:47Z",38
audit-39ac14452600,create,sprint-summaries,sprint-1770717765370,/v1/api/sprint-summaries,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:47Z",38
audit-b97d34dbaac5,update,tasks,SP-001,/v1/api/tasks/SP-001,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:47Z",38
audit-96ae564d84cf,create,sprint-summaries,sprint-1770717780672,/v1/api/sprint-summaries,POST,201,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:58Z",38
audit-28bd1fe5a70e,update,sprints,sprint-1770381604768,/v1/api/sprints/sprint-1770381604768,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:58Z",38
audit-bf7e7db92473,update,tasks,SP-001,/v1/api/tasks/SP-001,PUT,200,"127.0.0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:03:58Z",38
audit-18d9fa5e3e2a,update,tasks,SP-083,/v1/api/tasks/SP-083,PUT,200,"124.123.70.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","{}","2026-02-10T10:23:57Z",25
