"id","app","name","applied"
1,api,"0001_initial",2025-12-29 15:03:55.775 +0530
2,contenttypes,"0001_initial",2026-01-02 11:03:09.210 +0530
3,auth,"0001_initial",2026-01-02 11:03:10.004 +0530
4,admin,"0001_initial",2026-01-02 11:03:10.224 +0530
5,admin,"0002_logentry_remove_auto_add",2026-01-02 11:03:10.258 +0530
6,admin,"0003_logentry_add_action_flag_choices",2026-01-02 11:03:10.341 +0530
7,contenttypes,"0002_remove_content_type_name",2026-01-02 11:03:10.510 +0530
8,auth,"0002_alter_permission_name_max_length",2026-01-02 11:03:10.623 +0530
9,auth,"0003_alter_user_email_max_length",2026-01-02 11:03:10.732 +0530
10,auth,"0004_alter_user_username_opts",2026-01-02 11:03:10.791 +0530
11,auth,"0005_alter_user_last_login_null",2026-01-02 11:03:10.926 +0530
12,auth,"0006_require_contenttypes_0002",2026-01-02 11:03:10.978 +0530
13,auth,"0007_alter_validators_add_error_messages",2026-01-02 11:03:11.063 +0530
14,auth,"0008_alter_user_username_max_length",2026-01-02 11:03:11.201 +0530
15,auth,"0009_alter_user_last_name_max_length",2026-01-02 11:03:11.311 +0530
16,auth,"0010_alter_group_name_max_length",2026-01-02 11:03:11.423 +0530
17,auth,"0011_update_proxy_permissions",2026-01-02 11:03:11.489 +0530
18,auth,"0012_alter_user_first_name_max_length",2026-01-02 11:03:11.622 +0530
19,sessions,"0001_initial",2026-01-02 11:03:11.803 +0530
20,api,"0002_alter_task_owner_alter_approval_approved_by_and_more",2026-01-02 18:40:47.785 +0530
21,api,"0003_task_steps_to_reproduce_test_reproduced",2026-01-05 17:28:47.161 +0530
22,api,"0004_alter_task_test_reproduced",2026-01-05 17:47:28.432 +0530
23,api,"0005_fix_test_reproduced_type",2026-01-05 17:58:52.635 +0530
24,api,"0006_task_closed_date",2026-01-05 18:52:06.939 +0530
25,api,"0007_set_user_emails",2026-01-12 11:19:19.957 +0530
26,api,"0008_task_attachment",2026-01-13 17:06:15.804 +0530
27,api,"0009_task_in_progress_date",2026-01-13 18:23:26.578 +0530
28,api,"0010_backfill_in_progress_date",2026-01-13 18:30:12.077 +0530
29,api,"0011_task_blocked_hours",2026-01-14 12:47:27.316 +0530
30,api,"0012_sprint_holiday_dates",2026-01-23 14:31:41.792 +0530
31,api,"0013_task_qa_status",2026-01-23 15:24:06.739 +0530
32,api,"0014_task_qa_time_fields",2026-01-23 16:30:22.705 +0530
33,api,"0015_task_qa_fixing_in_progress_date",2026-01-23 16:30:22.848 +0530
34,api,"0016_task_qa_fixing_hours",2026-01-23 17:02:26.785 +0530
35,api,"0017_add_team_fields",2026-01-29 14:07:56.277 +0530
36,api,"0015_memberprofile_leave_dates",2026-02-04 18:19:16.192 +0530
37,api,"0018_merge_20260204_1818",2026-02-04 18:19:16.255 +0530
38,api,"0019_task_overtime_fields",2026-02-04 19:13:10.938 +0530
39,api,"0020_remove_task_overtime_fields",2026-02-04 19:22:46.743 +0530
40,api,"0019_audit_log",2026-02-10 14:48:14.396 +0530
41,api,"0020_task_qa_sprint",2026-02-11 11:14:26.345 +0530
