"id","file_name","file_size","content_type","s3_bucket","s3_key","created_date","task_id","uploaded_by"
attachment-1769078718305,address issue_3.png,26166,image/png,whizz-sprint-flow-attachments,bugs/BUG-002/1769078718165-e725554b-address-issue_3.png,"2026-01-22T10:45:18Z",BUG-002,26
attachment-1769080634402,address issue_5.png,29451,image/png,whizz-sprint-flow-attachments,tasks/BUG-006/1769080634261-72febdcd-address-issue_5.png,"2026-01-22T11:17:14Z",BUG-006,26
attachment-1769598608204,TPRM _1.png,126015,image/png,whizz-sprint-flow-attachments,bugs/BUG-010/1769598608086-09ea05f3-TPRM-_1.png,"2026-01-28T11:10:08Z",BUG-010,26
attachment-1769598645222,training_1.png,56999,image/png,whizz-sprint-flow-attachments,bugs/BUG-009/1769598645074-23b01487-training_1.png,"2026-01-28T11:10:45Z",BUG-009,26
attachment-1769598674331,training_1.png,56999,image/png,whizz-sprint-flow-attachments,bugs/BUG-009/1769598674194-8af418fa-training_1.png,"2026-01-28T11:11:14Z",BUG-009,26
attachment-1769598971304,training_1.png,56999,image/png,whizz-sprint-flow-attachments,bugs/BUG-009/1769598971171-b4335f69-training_1.png,"2026-01-28T11:16:11Z",BUG-009,26
attachment-1769663411559,WhatsApp Image 2026-01-29 at 10.39.10-2.jpeg,60596,image/jpeg,whizz-sprint-flow-attachments,tasks/SP-009/1769663411394-d76df2b4-WhatsApp-Image-2026-01-29-at-10.39.10-2.jpeg,"2026-01-29T05:10:11Z",SP-009,20
attachment-1769663411606,WhatsApp Image 2026-01-29 at 10.39.10.jpeg,42895,image/jpeg,whizz-sprint-flow-attachments,tasks/SP-009/1769663411562-dd10a844-WhatsApp-Image-2026-01-29-at-10.39.10.jpeg,"2026-01-29T05:10:11Z",SP-009,20
attachment-1770182888303,people module.png,151837,image/png,whizz-sprint-flow-attachments,bugs/BUG-015/1770182888165-95c6a79f-people-module.png,"2026-02-04T05:28:08Z",BUG-015,26
attachment-1770186938178,state spelling mistake_settings.png,46422,image/png,whizz-sprint-flow-attachments,bugs/BUG-016/1770186938044-4c67c386-state-spelling-mistake_settings.png,"2026-02-04T06:35:38Z",BUG-016,26
attachment-1770200007221,WhatsApp Image 2026-02-04 at 15.41.08-2.jpeg,63578,image/jpeg,whizz-sprint-flow-attachments,tasks/SP-056/1770200007041-79a36111-WhatsApp-Image-2026-02-04-at-15.41.08-2.jpeg,"2026-02-04T10:13:27Z",SP-056,20
attachment-1770200007270,WhatsApp Image 2026-02-04 at 15.41.08-3.jpeg,66253,image/jpeg,whizz-sprint-flow-attachments,tasks/SP-056/1770200007224-203d4b2f-WhatsApp-Image-2026-02-04-at-15.41.08-3.jpeg,"2026-02-04T10:13:27Z",SP-056,20
attachment-1770200007342,WhatsApp Image 2026-02-04 at 15.41.08.jpeg,67446,image/jpeg,whizz-sprint-flow-attachments,tasks/SP-056/1770200007273-58546df4-WhatsApp-Image-2026-02-04-at-15.41.08.jpeg,"2026-02-04T10:13:27Z",SP-056,20
